value	source_table	source_column	usage_count
Certified parcel dimensioning - Australia only (NMI certification)	config_option	description	1
Touch	config_option	description	1
4 Ports	config_option	description	1
Premium Full HD Display	config_option	description	1
Liner Takeup with Peel (4" model only)	config_option	description	1
Zebra Mobile (China Only)	config_option	description	1
Rogers	config_option	description	1
No Manual Trigger, No Top Trigger	config_option	description	1
Taiwan (TW)	config_option	description	1
SE4500 2D imager	config_option	description	1
Direct Thermal/Linered Platen, 1.375" Media core size	config_option	description	1
Bluetooth 4.x & BTLE	config_option	description	1
Color	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
SE4850 Extended Range + Front/Rear Camera	config_option	description	1
1 NanoSIM + 1 eSIM	config_option	description	1
WLAN (Wi-Fi 6E) + WWAN (5G)	config_option	description	1
Full Rewind with Peel	config_option	description	1
802.11_ BT_ NFC	config_option	description	1
Turkey Version	config_option	description	1
Healthcare White with Light Blue Trim	config_option	description	1
FFC - 8MP_ RFC - 16MP	config_option	description	1
SE4770	config_option	description	1
Fastest Read Rate	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Thailand	config_option	description	1
Hex-Core; 4.7" display w/capacitive touch panel, 1 micro SD, Ecompass, Handstrap.	config_option	description	1
US Only	config_option	description	1
Gen 1	config_option	description	1
Accelerometer, Gyro, Vibration Feedback	config_option	description	1
United States/Puerto Rico	config_option	description	1
Battery & AC	config_option	description	1
Media Width Sensor	config_option	description	1
RFID Freq (ROW RFID only)	config_position	attribute_label	1
Russia (WLAN / WWAN)	config_option	description	1
Country	config_position	attribute_label	1
Serial, Ethernet, USB	config_option	description	1
Asia Pacific Only	config_option	description	1
UHF Encoder, Japan	config_option	description	1
Specification URLs	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Premium, rear Button, Camera, rugged I/O, NFC, Warm Swap	config_option	description	1
Battery Type	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Channel SKU	config_option	description	1
Wearable Solution	config_option	description	1
Japanese (Hansj.ttf, Bitmapped 24x24,16x16)	config_option	description	1
7000mAh	config_option	description	1
RFID with 256M/512M	config_option	description	1
Scanner	config_position	attribute_label	1
India Only Battery	config_option	description	1
Specialization	config_position	attribute_label	1
Midnight Black + Industrial Green	config_option	description	1
Support URLs	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Double Sided, USB-C, No Top Trigger	config_option	description	1
India & Korea Only	config_option	description	1
53 Key 3270 Emulation	config_option	description	1
APAC Power Cord Bundle (EU/UK)	config_option	description	1
Positioning	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
MC3300 Premium Plus + UHF RFID	config_option	description	1
Dual Interval with Calibration switch	config_option	description	1
Base Technology	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Color Camera Landscape	config_option	description	1
Memory (RAM/Flash/SD slot)	config_position	attribute_label	1
Standard White	config_option	description	1
Radios	config_position	attribute_label	1
SE55 1D/2D Advanced Range Imager - Green Laser Aimer on White Illumination	config_option	description	1
Prefix	config_position	attribute_label	1
None (LAN ONLY)	config_option	description	1
Sensors	config_position	attribute_label	1
Wi-Fi 6E 802.a/b/g/n/ac/d/h/i/r/k/v/w/mc/ax BT 5.3 NFC	config_option	description	1
Hardware Options	config_position	attribute_label	1
WWAN NA	config_option	description	1
Android GMS; MDNA Professional	config_option	description	1
External Keypad and Touch Screen	config_option	description	1
Wi-Fi 6 (802.11ax/Bluetooth 5.3), Japan	config_option	description	1
Android (version not stated or tracked)	config_option	description	1
Wan Radio	config_position	attribute_label	1
-30oC Operation	config_option	description	1
1GB/8GB	config_option	description	1
Product Applications	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
No Keyboard	config_option	description	1
Group E (EU/EFTA Bahrain Belarus Egypt Israel Jordan Kazakhstan Kuwait Lebanon Oman Qatar Russia Saudi Arabia Serbia South Africa Turkey United Arab Emirates Ukraine Yemen)	config_option	description	1
Hardware	config_position	attribute_label	1
GMS; MDNA Professional	config_option	description	1
Form Factor	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Group "A" (ID/TW/KR/MY/AU/NZ/LK)	config_option	description	1
Advanced Features	config_position	attribute_label	1
Android Strongbox supported - Secure Element	config_option	description	1
Antenna	config_position	attribute_label	1
RadioOption	config_position	attribute_label	1
Print Speed	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
VERSION	config_position	attribute_label	1
Standard Range, Horizontal	config_option	description	1
Thermal Transfer/Direct Thermal	config_option	description	1
Keypad + Touch Screen	config_option	description	1
Illumination	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Standard (No Option)	config_option	description	1
NA, LA, EMEA Only (Rest of World)	config_option	description	1
RS232 Serial, Parallel, USB, & Internal PrintServer	config_option	description	1
USB, USB Host, Ethernet, BTLE (Intended for Zebra Printer Setup Utility App)	config_option	description	1
Additional Features	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Syndicate to AEM (PIM only)	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
GPIO	config_position	attribute_label	1
Multi-Operator HSPA+ / LTE (US + Canada)	config_option	description	1
SE 4750SR + 5.0MP Front/13MP Rear Cam   SD660	config_option	description	1
US, CA, MX, BR, JP, TW Power Supply (100 - 240VAC) 50-14000-253R	config_option	description	1
opto-isolated (5,5)	config_option	description	1
Wi-Fi 6 (802.11ax/Bluetooth 5.3), ROW (Rest of World)	config_option	description	1
Direct Thermal/Linered Platen 0.75 Media core Size	config_option	description	1
SE4100 Scanner + Camera	config_option	description	1
8Port	config_option	description	1
Scale Platter	config_option	description	1
Indonesia (for WWAN SKUs Only)	config_option	description	1
Standard  Battery w/BLE	config_option	description	1
800MHz RFID (EU/UK and other countries supporting 800MHz RFID) or European Economic Area non-RFID	config_option	description	1
Tier Option	config_position	attribute_label	1
RADIO CONFIG	config_position	attribute_label	1
European Union	config_option	description	1
Asia Bundle (EU, UK, AU, JP)	config_option	description	1
Power Cords	config_position	attribute_label	1
TC73 LAN	config_option	description	1
Windows Mobile 6.x Professional	config_option	description	1
Extended Battery, RFC, No FFC	config_option	description	1
Weight	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Antenna Assembly	config_position	attribute_label	1
OperatingSystem	config_position	attribute_label	1
Standard Tear	config_option	description	1
WT6400	config_option	description	1
Freezer	config_option	description	1
Encryption	config_position	attribute_label	1
SE55	config_option	description	1
SE4850 Extended Range Imager + Camera  (not applicable for Gun configurations)	config_option	description	1
Echo	config_option	description	1
Cordless/Radio	config_position	attribute_label	1
Extended Battery, RFC,  FFC	config_option	description	1
Brick Straight Shooter	config_option	description	1
Standard (Ethernet, Serial, USB, USB Host, Bluetooth LE)	config_option	description	1
English Japanese (NotoMono scalable Square Gothic JMT scalable/16x16 and legacy 24x24)	config_option	description	1
Diamond-like Glass and Checkpoint EAS	config_option	description	1
Japanese (Hansj.ttf) Bitmapped 24x24,16x16)	config_option	description	1
2 Inch	config_option	description	1
Sensormatic EAS	config_option	description	1
Accelerometer, Gyro, Vibration Feedback, Magnetometer, Proximity Sensor	config_option	description	1
Radio Config	config_position	attribute_label	1
Telstra	config_option	description	1
USB, 802.11ac WiFi, Bluetooth 4.0 ROW (Rest of the World)	config_option	description	1
Multi Operator (AT&T/Verizon/T-Mobile)	config_option	description	1
1D Laser - SE965 Standard Range Laser	config_option	description	1
Bluetooth Beacon- 4150 mAh- with NFC	config_option	description	1
Additional Software	config_position	attribute_label	1
Local Radios	config_position	attribute_label	1
No Scale	config_option	description	1
5,000 mAh battery	config_option	description	1
Config	config_position	attribute_label	1
China + Japan 5G / LTE GPS Data Only + Wi-Fi 6E: 802.a/b/g/n/ac/d/h/i/r/k/v/w/mc/ax BT 5.3 NFC	config_option	description	1
UHF RFID- BT 5.3	config_option	description	1
United States, Canada, Puerto Rico	config_option	description	1
UHF RFID, BT 5.3, & Wi-Fi 6	config_option	description	1
Serial, Ethernet, USB, USB Host, Bluetooth 4.1	config_option	description	1
Alpha and Numeric Primary Wide	config_option	description	1
SE4720	config_option	description	1
RoW	config_option	description	1
Nova White	config_option	description	1
No Trigger	config_option	description	1
3GB/32GB	config_option	description	1
802.11	config_option	description	1
ZD621	config_option	description	1
Power Supply	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Bluetooth	config_option	description	1
Thermal Transfer (Ribbon Cartridge)	config_option	description	1
Non-Plus model with Media Width Sensor	config_option	description	1
Warm swap	config_option	description	1
Dash	config_position	attribute_label	1
2 Antenna	config_option	description	1
Country Code	config_position	attribute_label	1
EMEA only	config_option	description	1
US and Canada Only   SD660	config_option	description	1
Diamond-like Glass and Sensormatic EAS	config_option	description	1
Double Sided, Vibrator, Top Trigger	config_option	description	1
Radio Option	config_position	attribute_label	1
2Port	config_option	description	1
India (IN)	config_option	description	1
WiFi�6E (802.11ax) & support:� a/b/g/n/ac/d/h/i/r/k/v/w/mc/ax�(2x2 MIMO) NFC antenna in display, BT 5.2	config_option	description	1
Android GMS; MDNA Enterprise	config_option	description	1
Medium	config_option	description	1
RFID 800 MHz	config_option	description	1
English Smpl Ch (Hans scalable and bitmap 24x24 16x16)	config_option	description	1
Connector	config_position	attribute_label	1
Android AOSP China Only	config_option	description	1
No Scanner	config_option	description	1
Japan & South Korea (WWAN)	config_option	description	1
Label Sensor	config_position	attribute_label	1
Global language support	config_option	description	1
Hex-Core; 4.7'' display w/capacitive touch panel, 1 micro SD, Ecompass, Handstrap. 2.45 GHZ processor	config_option	description	1
Digimarc	config_option	description	1
ImagePerfect	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Radio Platform	config_position	attribute_label	1
Extreme Density	config_option	description	1
Local Radios/Family	config_position	attribute_label	1
Standard range	config_option	description	1
RFID or Std	config_position	attribute_label	1
Group "B" (SG/TH/PH/HK/VN)	config_option	description	1
SE965 1D Standard Range Laser	config_option	description	1
Dimensions	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
EU	config_option	description	1
English/Latin9, Arabic, Crillic & Hebrew	config_option	description	1
Simple Chinese (Hans CN,  bitmapped: 24x24 Msung & 16x16 SimSun)	config_option	description	1
EU dual band	config_option	description	1
Number Designation	config_position	attribute_label	1
Multi Interface	config_option	description	1
Ships with Battery	config_option	description	1
8100	config_option	description	1
India (WWAN / WLAN)	config_option	description	1
4 Inch	config_option	description	1
Standard Display	config_option	description	1
Price	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Ivanti Velocity	config_option	description	1
Zebra NGE Radio	config_option	description	1
European eco. Area	config_option	description	1
ROW: EMEA, Canada, LATAM and APAC	config_option	description	1
Basic Battery, RFC, FFC	config_option	description	1
SE4720 White & Green HC only Imager  Front and Rear Camera	config_option	description	1
Country Code/Custom	config_position	attribute_label	1
Capacitive	config_option	description	1
Full HD Display, 7 Pin connector, BLE Beacon, Rear IO for Trigger	config_option	description	1
Tumble Specifications	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Enterprise Hand Mount, Left Hand, Medium	config_option	description	1
Additional Feature	config_position	attribute_label	1
Premium label printer	config_option	description	1
SE4710 SR MPI , Front&Rear Camera (Healthcare)	config_option	description	1
HF RFID Radio with NFC	config_option	description	1
Cash Register White	config_option	description	1
SE4710 Front Camera & Rear Sunny Camera, no ARCore support	config_option	description	1
LAN Only	config_option	description	1
RFID	config_position	attribute_label	2
Wi-Fi 6 (802.11ax/Bluetooth 5.3, US & Canada	config_option	description	1
Extended Capacity  Battery included	config_option	description	1
Dual radio / 802.11AC + BT 4.1 (Includes IoT sensors)	config_option	description	1
Linear Polarized Yagi Antenna	config_option	description	1
No ATTE Pre-load	config_option	description	1
TC53e-RFID Integrated RFID - QC4490 chipset - WiFi�6E (802.11ax) (2x2 MIMO)?, NFC antenna under display, BT 5.3	config_option	description	1
CPU Suffix	config_position	attribute_label	1
SE4850 Extended Range	config_option	description	1
Rusia	config_option	description	1
3 GB RAM/32 GB FLASH	config_option	description	1
Cordless/Radio Options	config_position	attribute_label	1
US	config_option	description	1
North America Only	config_option	description	1
India Only Standard 2 Cell Battery_ Belt Clip	config_option	description	1
Images Per Roll	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
USB, USB Host, Modular Connectivity Slot, 802.11, Bluetooth ROW (Rest of the World)	config_option	description	1
Red with Amber LED Aimer	config_option	description	1
SE4720 Red & Amber imager Front & Rear Camera	config_option	description	1
13MP Side Camera only	config_option	description	1
Back of hand RFID	config_option	description	1
In the box	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Direct Thermal (No Ribbon)/Linered Platen, 0.75" Media core size	config_option	description	1
Standard Range, Vertical	config_option	description	1
None/Batch	config_option	description	1
WLAN	config_position	attribute_label	2
European Power Supply (220VAC): KT-14001-002R	config_option	description	1
Custom SKU	config_option	description	1
Dual Interval Scale	config_option	description	1
Environment	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
RFID Japan	config_option	description	1
Enterprise Hand Mount, Right Hand, Small	config_option	description	1
Integrated High-Gain Circular Polarized Antenna	config_option	description	1
53 Key Standard Alpha Numeric	config_option	description	1
2-inch	config_option	description	1
High Density Focus	config_option	description	1
Korea and India	config_option	description	1
Numeric Telephony	config_option	description	1
SE4750 Standard Range Imager	config_option	description	1
Basic IO (2 USB, 2 RS232, Speaker/Mic)	config_option	description	1
Taiwan FCC compliance + NS (WAN Only)	config_option	description	1
Android Non-GMS	config_option	description	1
Compare Models	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
India, South Korea	config_option	description	1
2D Imager - SE4750MR Medium Range Imager	config_option	description	1
ROW Version	config_option	description	1
Print Technology	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Standard (White)	config_option	description	1
Scanner Key	config_position	attribute_label	1
Drop Specifications	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
EU Countries Only	config_option	description	1
WLAN Only	config_option	description	1
Rest of World (APAC EMEA LATAM)	config_option	description	1
Wi-Fi 6 Dual radio (802.11ax + Bluetooth 5.x)	config_option	description	1
Photo Eye	config_option	description	1
USB, USB Host, Modular Connectivity Slot, 802.11ac, Bluetooth 4 (USA/Canada)	config_option	description	1
EMEA DUAL BAND	config_option	description	1
Standard Version (No RFID)	config_option	description	1
Ceiling mount Antenna Assembly	config_option	description	1
Battery and Camera	config_position	attribute_label	1
North America (includes US, Canada, Puerto Rico)	config_option	description	1
Peel	config_option	description	1
300  (12 dot/mm)	config_option	description	1
Language	config_position	attribute_label	1
Model Name	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
3GB RAM / 32GB Flash	config_option	description	1
Premium 4GB/32GB	config_option	description	1
GMS Healthcare White MDNA Enterprise License	config_option	description	1
Marketing Name (including Local Radios)	config_position	attribute_label	1
Battery Capacity	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Liner Takeup with Peel	config_option	description	1
Healthcare	config_option	description	1
WLAN Only - WW	config_option	description	1
4Port	config_option	description	1
Storage	config_position	attribute_label	1
Country/Compliance	config_position	attribute_label	1
Indonesia (Req�d for WAN Only)	config_option	description	1
2 Nano SIM/1 SAM	config_option	description	1
USB, USB Host, Ethernet, Serial, 802.11ac, Bluetooth 4, RFID - UHF (USA/Canada)	config_option	description	1
PowerCap Capacitor	config_option	description	1
Hex-Core; 4.7" display w/capacitive touch panel, 1 micro SD, IrDA, Ecompass, Handstrap. (US ONLY)	config_option	description	1
Series	config_position	attribute_label	1
Wall Mounted Transition Reader	config_option	description	1
Temperature Indication	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
52 Key 3270 Emulation	config_option	description	1
Multi-Operator HSPA+/ LTE/5G (ROW: EMEA_ LATAM + APAC SIM + eSIM	config_option	description	1
ROW_ APAC- LATAM- EMEA (WWAN and WLAN)	config_option	description	1
SE58 + 13MP Rear Facing Camera + 5MP Front Facing Camera	config_option	description	1
NA - 5G	config_option	description	1
Read Range	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Vodafone	config_option	description	1
Wi-Fi 5 Dual Radio (802.11AC + Bluetooth 4.2)	config_option	description	1
USA	config_option	description	1
Wi-Fi 5 (802.11ac/Bluetooth 4.2), Japan	config_option	description	1
Accessory Guide	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
OS + Plastics	config_position	attribute_label	1
8 Ports	config_option	description	1
Battery & DC	config_option	description	1
Dual Physical SIM	config_option	description	1
915 - 916.8 (Israel)	config_option	description	1
Penta-band GSM	config_option	description	1
India	config_option	description	1
Housing Material	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
North America (NA)	config_option	description	1
Power Consumption	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
902-928. 865-868	config_option	description	1
Lanyard, No Top Trigger	config_option	description	1
TAA & FIPS (US)	config_option	description	1
4GB / 64GB	config_option	description	1
SIM/SAM/nano slots	config_position	attribute_label	1
SE4750MR Mid-Range Imager	config_option	description	1
Back of Hand	config_option	description	1
Proximity Triggering	config_position	attribute_label	1
Healthcare Hot Swap	config_option	description	1
Rest of World	config_option	description	1
Touch Screen	config_position	attribute_label	2
None (LAN Only)	config_option	description	1
4GB RAM/32GB FLASH pSLC	config_option	description	1
USB, USB Host, Ethernet, Serial, 802.11ac, Bluetooth 4 (All countries except USA, Canada and Japan)	config_option	description	1
3-inch	config_option	description	1
SE4720 Red & Amber Imager, Front&Rear Camera Enterprise	config_option	description	1
TC78 WAN	config_option	description	1
Thai (Scalable, Angsana)	config_option	description	1
ULTRA-RUGGED	config_option	description	1
SE950 1D Laser with 3 MP Color Camera	config_option	description	1
IP Sealing	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
RFID NA	config_option	description	1
WAN Carrier	config_position	attribute_label	1
Motion Sensor	config_option	description	1
Group "D" (India)	config_option	description	1
Image Sensor	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
Max Receive Sensitivity	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
HC55 Healthcare - 802.11 Wifi 6(E) a/b/g/n/d/h/i/k/r/mc/ac/ax, 2 x 2 Mu-MIMO, BT 5.2, NFC	config_option	description	1
Cutter with Catch Tray	config_option	description	1
Display Size	config_position	attribute_label	1
Configuration	config_position	attribute_label	1
FIPS & TAA (US)	config_option	description	1
High Density Focus with Driver License Parsing	config_option	description	1
Rugged	config_option	description	1
SE4710 SR MPI  + No Front  Cam/ 13MP Rear Cam	config_option	description	1
45 degree SE4770 + Camera (45 degree scan angle N/A for Gun configurations)	config_option	description	1
Industry	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
58 Key Alpha Numeric	config_option	description	1
902-928 + Japan License Station	config_option	description	1
China ONLY	config_option	description	1
8 dot/mm (203 dpi)	config_option	description	1
English, Simple Chinese (Hans scalable and bitmap 24x24, 16x16)	config_option	description	1
FFC - 8MP_ RFC - 16MP With OIS_ Time Of Flight	config_option	description	1
Kit (device + preinstalled screen protector + preinstalled boot + USB-C cable in shipping box)	config_option	description	1
Six Input/Six Output	config_option	description	1
Country code	config_position	attribute_label	1
Sapphire Glass and Sensormatic EAS	config_option	description	1
Product family	config_position	attribute_label	1
USB, USB Host, Modular Connectivity Slot, 802.11, Bluetooth Japan	config_option	description	1
US, Canada, Puerto Rico, TAA Compliant	config_option	description	1
Multi-Interface	config_option	description	1
North America - United States Canada and Puerto Rico	config_option	description	1
Standard Battery	config_option	description	1
AOSP Healthcare White	config_option	description	1
1300mAh	config_option	description	1
GMS Std Color MDNA Enterprise License	config_option	description	1
12 dot/mm (300 dpi)	config_option	description	1
Unknown	config_position	attribute_label	1
Android AOSP (Non-GMS); MDNA Enterprise	config_option	description	1
Built-In Light Stack	config_option	description	1
Group J (Japan)	config_option	description	1
Camera Option	config_position	attribute_label	1
Media Options	config_position	attribute_label	1
Turkey (WLAN / WWAN)	config_option	description	1
Color Touch User Interface ( ZD621 ONLY)	config_option	description	1
Standard (Ethernet, Serial, USB, 2x USB Host, Bluetooth 4.1)	config_option	description	1
Operating language	config_position	attribute_label	1
Android 11 AOSP	config_option	description	1
Bluetooth (cordless) or None (corded)	config_option	description	1
English	config_option	description	1
SE965 1D Laser + Camera (N/A for Gun configurations)	config_option	description	1
Model Type	config_position	attribute_label	1
Direct Thermal/Linered Platen, 1.375 Media core size	config_option	description	1
45 degree SE4770 (45 degree scan angle N/A for Gun configurations)	config_option	description	1
53 Key Virtual Terminal	config_option	description	1
Gun	config_option	description	1
Trust Icon	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
SE4750MR	config_option	description	1
Audio	config_position	attribute_label	1
No Standard Battery Pack, Belt Clip (US Only)	config_option	description	1
SIM	config_position	attribute_label	1
USB, USB Host, Ethernet, Serial, BTLE (Intended for Zebra Printer Setup Utility App), RFID - UHF (All countries except USA, Canada and Japan)	config_option	description	1
Family	config_position	attribute_label	1
ROW minus EMEA, RF900	config_option	description	1
Verizon	config_option	description	1
FIPS & TAA	config_option	description	1
Channel Type	config_position	attribute_label	1
802.11a/b/g/n/d/h/i/k/r/ac + BT 5.x with NFC	config_option	description	1
Mount Type	htb_attribute_mapping_zebra_provided	attribute_name_for_htb	1
No SIM	config_option	description	1
Linered platen (0.75 media core)	config_option	description	1
Interface (Connectivity)	config_position	attribute_label	1
RFID 900 MHz	config_option	description	1
HOUSING	config_position	attribute_label	1
Certified parcel dimensioning - EU/EFTA only (OIML certification)	config_option	description	1
ZT6104	config_option	description	1
Argentina (AR)	config_option	description	1
AZERTY	config_option	description	1
Scanner Type	config_position	attribute_label	1
